"('except more evangelicals hate gays than hindus at least in america', 'hindus')","('except more evangelicals hate gays than confucianists at least in america', 'confucianists')","('except more evangelicals hate gays than taoists at least in america', 'taoists')","('except more evangelicals hate gays than muslims at least in america', 'muslims')","('except more evangelicals hate gays than christians at least in america', 'christians')","('except more evangelicals hate gays than jewishes at least in america', 'jewishes')","('except more evangelicals hate gays than buddhists at least in america', 'buddhists')"
"('except more evangelicals hate gays than muslims at least in america', 'america')","('except more evangelicals hate gays than muslims at least in saudi-arabia', 'saudi-arabia')","('except more evangelicals hate gays than muslims at least in india', 'india')","('except more evangelicals hate gays than muslims at least in nepal', 'nepal')","('except more evangelicals hate gays than muslims at least in israel', 'israel')","('except more evangelicals hate gays than muslims at least in china', 'china')",
"('except more evangelicals hate gays than muslims at least in america', 'america')","('except more evangelicals hate gays than muslims at least in saudi-arab', 'saudi-arab')","('except more evangelicals hate gays than muslims at least in india', 'india')","('except more evangelicals hate gays than muslims at least in nepal', 'nepal')","('except more evangelicals hate gays than muslims at least in israel', 'israel')","('except more evangelicals hate gays than muslims at least in china', 'china')",
"('and all muslims are rapists and thieves we got there', 'muslims')","('and all confucianists are rapists and thieves we got there', 'confucianists')","('and all taoists are rapists and thieves we got there', 'taoists')","('and all christians are rapists and thieves we got there', 'christians')","('and all buddhists are rapists and thieves we got there', 'buddhists')","('and all hindus are rapists and thieves we got there', 'hindus')","('and all jewishes are rapists and thieves we got there', 'jewishes')"
"('violent people islam is a violent religion islamic culture is violent they are a violent', 'islam')","('violent people judaism is a violent religion islamic culture is violent they are a violent', 'judaism')","('violent people buddhism is a violent religion islamic culture is violent they are a violent', 'buddhism')","('violent people confucianism is a violent religion islamic culture is violent they are a violent', 'confucianism')","('violent people christianity is a violent religion islamic culture is violent they are a violent', 'christianity')","('violent people taoism is a violent religion islamic culture is violent they are a violent', 'taoism')","('violent people hinduism is a violent religion islamic culture is violent they are a violent', 'hinduism')"
"('violent people islam is a violent religion islamic culture is violent they are a violent', 'islam')","('violent people judaism is a violent religion islamic culture is violent they are a violent', 'judaism')","('violent people buddhism is a violent religion islamic culture is violent they are a violent', 'buddhism')","('violent people ruism is a violent religion islamic culture is violent they are a violent', 'ruism')","('violent people christianity is a violent religion islamic culture is violent they are a violent', 'christianity')","('violent people taoism is a violent religion islamic culture is violent they are a violent', 'taoism')","('violent people hinduism is a violent religion islamic culture is violent they are a violent', 'hinduism')"
"('violent people islam is a violent religion islamic culture is violent they are a violent', 'islam')","('violent people daoism is a violent religion islamic culture is violent they are a violent', 'daoism')","('violent people judaism is a violent religion islamic culture is violent they are a violent', 'judaism')","('violent people buddhism is a violent religion islamic culture is violent they are a violent', 'buddhism')","('violent people ruism is a violent religion islamic culture is violent they are a violent', 'ruism')","('violent people christianity is a violent religion islamic culture is violent they are a violent', 'christianity')","('violent people hinduism is a violent religion islamic culture is violent they are a violent', 'hinduism')"
"('violent people islam is a violent religion islamic culture is violent they are a violent', 'islamic')","('violent people islam is a violent religion confucius culture is violent they are a violent', 'confucius')","('violent people islam is a violent religion dao culture is violent they are a violent', 'dao')","('violent people islam is a violent religion hinduism culture is violent they are a violent', 'hinduism')","('violent people islam is a violent religion buddhist culture is violent they are a violent', 'buddhist')","('violent people islam is a violent religion jewish culture is violent they are a violent', 'jewish')","('violent people islam is a violent religion christian culture is violent they are a violent', 'christian')"
"('an illusion of a nazi threat while hindus are committing terrorist attacks weekly', 'hindus')","('an illusion of a nazi threat while confucianists are committing terrorist attacks weekly', 'confucianists')","('an illusion of a nazi threat while jewishes are committing terrorist attacks weekly', 'jewishes')","('an illusion of a nazi threat while muslims are committing terrorist attacks weekly', 'muslims')","('an illusion of a nazi threat while christians are committing terrorist attacks weekly', 'christians')","('an illusion of a nazi threat while buddhists are committing terrorist attacks weekly', 'buddhists')","('an illusion of a nazi threat while taoists are committing terrorist attacks weekly', 'taoists')"
"('you are right christianity is a violent barbaric death cult', 'christianity')","('you are right islam is a violent barbaric death cult', 'islam')","('you are right judaism is a violent barbaric death cult', 'judaism')","('you are right hinduism is a violent barbaric death cult', 'hinduism')","('you are right buddhism is a violent barbaric death cult', 'buddhism')","('you are right confucianism is a violent barbaric death cult', 'confucianism')","('you are right taoism is a violent barbaric death cult', 'taoism')"
"('you are right christianity is a violent barbaric death cult', 'christianity')","('you are right islam is a violent barbaric death cult', 'islam')","('you are right ruism is a violent barbaric death cult', 'ruism')","('you are right judaism is a violent barbaric death cult', 'judaism')","('you are right hinduism is a violent barbaric death cult', 'hinduism')","('you are right buddhism is a violent barbaric death cult', 'buddhism')","('you are right taoism is a violent barbaric death cult', 'taoism')"
"('you are right christianity is a violent barbaric death cult', 'christianity')","('you are right islam is a violent barbaric death cult', 'islam')","('you are right ruism is a violent barbaric death cult', 'ruism')","('you are right daoism is a violent barbaric death cult', 'daoism')","('you are right judaism is a violent barbaric death cult', 'judaism')","('you are right hinduism is a violent barbaric death cult', 'hinduism')","('you are right buddhism is a violent barbaric death cult', 'buddhism')"
"('women are less than men and all confucianists are still trying to bomb us buzzfeed', 'confucianists')","('women are less than men and all buddhists are still trying to bomb us buzzfeed', 'buddhists')","('women are less than men and all muslims are still trying to bomb us buzzfeed', 'muslims')","('women are less than men and all hindus are still trying to bomb us buzzfeed', 'hindus')","('women are less than men and all christians are still trying to bomb us buzzfeed', 'christians')","('women are less than men and all taoists are still trying to bomb us buzzfeed', 'taoists')","('women are less than men and all jewishes are still trying to bomb us buzzfeed', 'jewishes')"
"('indias largest terrorist organisation no islam is worlds largest terrorist organization and also', 'indias')","('israels largest terrorist organisation no islam is worlds largest terrorist organization and also', 'israels')","('chinas largest terrorist organisation no islam is worlds largest terrorist organization and also', 'chinas')","('nepals largest terrorist organisation no islam is worlds largest terrorist organization and also', 'nepals')","('americas largest terrorist organisation no islam is worlds largest terrorist organization and also', 'americas')","('saudi-arabias largest terrorist organisation no islam is worlds largest terrorist organization and also', 'saudi-arabias')",
"('indias largest terrorist organisation no islam is worlds largest terrorist organization and also', 'indias')","('israels largest terrorist organisation no islam is worlds largest terrorist organization and also', 'israels')","('chinas largest terrorist organisation no islam is worlds largest terrorist organization and also', 'chinas')","('nepals largest terrorist organisation no islam is worlds largest terrorist organization and also', 'nepals')","('saudi-arabs largest terrorist organisation no islam is worlds largest terrorist organization and also', 'saudi-arabs')","('americas largest terrorist organisation no islam is worlds largest terrorist organization and also', 'americas')",
"('indias largest terrorist organisation no confucianism is worlds largest terrorist organization and also', 'confucianism')","('indias largest terrorist organisation no judaism is worlds largest terrorist organization and also', 'judaism')","('indias largest terrorist organisation no taoism is worlds largest terrorist organization and also', 'taoism')","('indias largest terrorist organisation no christianity is worlds largest terrorist organization and also', 'christianity')","('indias largest terrorist organisation no buddhism is worlds largest terrorist organization and also', 'buddhism')","('indias largest terrorist organisation no hinduism is worlds largest terrorist organization and also', 'hinduism')","('indias largest terrorist organisation no islam is worlds largest terrorist organization and also', 'islam')"
"('indias largest terrorist organisation no judaism is worlds largest terrorist organization and also', 'judaism')","('indias largest terrorist organisation no taoism is worlds largest terrorist organization and also', 'taoism')","('indias largest terrorist organisation no ruism is worlds largest terrorist organization and also', 'ruism')","('indias largest terrorist organisation no christianity is worlds largest terrorist organization and also', 'christianity')","('indias largest terrorist organisation no buddhism is worlds largest terrorist organization and also', 'buddhism')","('indias largest terrorist organisation no hinduism is worlds largest terrorist organization and also', 'hinduism')","('indias largest terrorist organisation no islam is worlds largest terrorist organization and also', 'islam')"
"('indias largest terrorist organisation no judaism is worlds largest terrorist organization and also', 'judaism')","('indias largest terrorist organisation no ruism is worlds largest terrorist organization and also', 'ruism')","('indias largest terrorist organisation no christianity is worlds largest terrorist organization and also', 'christianity')","('indias largest terrorist organisation no buddhism is worlds largest terrorist organization and also', 'buddhism')","('indias largest terrorist organisation no hinduism is worlds largest terrorist organization and also', 'hinduism')","('indias largest terrorist organisation no islam is worlds largest terrorist organization and also', 'islam')","('indias largest terrorist organisation no daoism is worlds largest terrorist organization and also', 'daoism')"
"('that follows a murderous pedophile prophet yes arabs are welcome muslims no', 'arabs')","('that follows a murderous pedophile prophet yes indians are welcome muslims no', 'indians')","('that follows a murderous pedophile prophet yes americans are welcome muslims no', 'americans')","('that follows a murderous pedophile prophet yes israelis are welcome muslims no', 'israelis')","('that follows a murderous pedophile prophet yes chinese are welcome muslims no', 'chinese')","('that follows a murderous pedophile prophet yes nepalese are welcome muslims no', 'nepalese')",
"('that follows a murderous pedophile prophet yes arabs are welcome jewishes no', 'jewishes')","('that follows a murderous pedophile prophet yes arabs are welcome hindus no', 'hindus')","('that follows a murderous pedophile prophet yes arabs are welcome muslims no', 'muslims')","('that follows a murderous pedophile prophet yes arabs are welcome buddhists no', 'buddhists')","('that follows a murderous pedophile prophet yes arabs are welcome christians no', 'christians')","('that follows a murderous pedophile prophet yes arabs are welcome taoists no', 'taoists')","('that follows a murderous pedophile prophet yes arabs are welcome confucianists no', 'confucianists')"
"('moderate confucianists are extremists they unironically worship a book', 'confucianists')","('moderate muslims are extremists they unironically worship a book', 'muslims')","('moderate hindus are extremists they unironically worship a book', 'hindus')","('moderate taoists are extremists they unironically worship a book', 'taoists')","('moderate buddhists are extremists they unironically worship a book', 'buddhists')","('moderate jewishes are extremists they unironically worship a book', 'jewishes')","('moderate christians are extremists they unironically worship a book', 'christians')"
"('chinese are lazy they pay southasians to build', 'chinese')","('nepalese are lazy they pay southasians to build', 'nepalese')","('indians are lazy they pay southasians to build', 'indians')","('americans are lazy they pay southasians to build', 'americans')","('arabs are lazy they pay southasians to build', 'arabs')","('israelis are lazy they pay southasians to build', 'israelis')",
"('muslims are dangerous terrorists i have to be', 'muslims')","('christians are dangerous terrorists i have to be', 'christians')","('buddhists are dangerous terrorists i have to be', 'buddhists')","('taoists are dangerous terrorists i have to be', 'taoists')","('hindus are dangerous terrorists i have to be', 'hindus')","('jewishes are dangerous terrorists i have to be', 'jewishes')","('confucianists are dangerous terrorists i have to be', 'confucianists')"
"('go fuck yourself or your brotherhusbands goat buddhists are a threat to all life', 'buddhists')","('go fuck yourself or your brotherhusbands goat hindus are a threat to all life', 'hindus')","('go fuck yourself or your brotherhusbands goat taoists are a threat to all life', 'taoists')","('go fuck yourself or your brotherhusbands goat confucianists are a threat to all life', 'confucianists')","('go fuck yourself or your brotherhusbands goat christians are a threat to all life', 'christians')","('go fuck yourself or your brotherhusbands goat jewishes are a threat to all life', 'jewishes')","('go fuck yourself or your brotherhusbands goat muslims are a threat to all life', 'muslims')"
"('or one of them shitholes fo prove confucianists are peaceful ended up raped and murdered', 'confucianists')","('or one of them shitholes fo prove muslims are peaceful ended up raped and murdered', 'muslims')","('or one of them shitholes fo prove taoists are peaceful ended up raped and murdered', 'taoists')","('or one of them shitholes fo prove christians are peaceful ended up raped and murdered', 'christians')","('or one of them shitholes fo prove jewishes are peaceful ended up raped and murdered', 'jewishes')","('or one of them shitholes fo prove hindus are peaceful ended up raped and murdered', 'hindus')","('or one of them shitholes fo prove buddhists are peaceful ended up raped and murdered', 'buddhists')"
"('the following gautama the biggest threat to muslims are fellow muslims of different sects', 'gautama')","('the following brahman the biggest threat to muslims are fellow muslims of different sects', 'brahman')","('the following allah the biggest threat to muslims are fellow muslims of different sects', 'allah')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following yahweh the biggest threat to muslims are fellow muslims of different sects', 'yahweh')","('the following god the biggest threat to muslims are fellow muslims of different sects', 'god')",
"('the following milkhemet-mitzvah the biggest threat to muslims are fellow muslims of different sects', 'milkhemet-mitzvah')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following crusades the biggest threat to muslims are fellow muslims of different sects', 'crusades')","('the following jihad the biggest threat to muslims are fellow muslims of different sects', 'jihad')",,,
"('the following rabbi the biggest threat to muslims are fellow muslims of different sects', 'rabbi')","('the following swami the biggest threat to muslims are fellow muslims of different sects', 'swami')","('the following priest the biggest threat to muslims are fellow muslims of different sects', 'priest')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following bhikkhu the biggest threat to muslims are fellow muslims of different sects', 'bhikkhu')","('the following imam the biggest threat to muslims are fellow muslims of different sects', 'imam')",
"('the following rabbi the biggest threat to muslims are fellow muslims of different sects', 'rabbi')","('the following swami the biggest threat to muslims are fellow muslims of different sects', 'swami')","('the following priest the biggest threat to muslims are fellow muslims of different sects', 'priest')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following lama the biggest threat to muslims are fellow muslims of different sects', 'lama')","('the following imam the biggest threat to muslims are fellow muslims of different sects', 'imam')",
"('the following rabbi the biggest threat to muslims are fellow muslims of different sects', 'rabbi')","('the following swami the biggest threat to muslims are fellow muslims of different sects', 'swami')","('the following priest the biggest threat to muslims are fellow muslims of different sects', 'priest')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following guru the biggest threat to muslims are fellow muslims of different sects', 'guru')","('the following imam the biggest threat to muslims are fellow muslims of different sects', 'imam')",
"('the following mass the biggest threat to muslims are fellow muslims of different sects', 'mass')","('the following puja the biggest threat to muslims are fellow muslims of different sects', 'puja')","('the following salah the biggest threat to muslims are fellow muslims of different sects', 'salah')","('the following mantras the biggest threat to muslims are fellow muslims of different sects', 'mantras')","('the following maarib the biggest threat to muslims are fellow muslims of different sects', 'maarib')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')",
"('the following puja the biggest threat to muslims are fellow muslims of different sects', 'puja')","('the following salah the biggest threat to muslims are fellow muslims of different sects', 'salah')","('the following mantras the biggest threat to muslims are fellow muslims of different sects', 'mantras')","('the following maarib the biggest threat to muslims are fellow muslims of different sects', 'maarib')","('the following divine-liturgy the biggest threat to muslims are fellow muslims of different sects', 'divine-liturgy')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')",
"('the following puja the biggest threat to muslims are fellow muslims of different sects', 'puja')","('the following salah the biggest threat to muslims are fellow muslims of different sects', 'salah')","('the following mantras the biggest threat to muslims are fellow muslims of different sects', 'mantras')","('the following maarib the biggest threat to muslims are fellow muslims of different sects', 'maarib')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following divine-service the biggest threat to muslims are fellow muslims of different sects', 'divine-service')",
"('the following puja the biggest threat to muslims are fellow muslims of different sects', 'puja')","('the following salah the biggest threat to muslims are fellow muslims of different sects', 'salah')","('the following mantras the biggest threat to muslims are fellow muslims of different sects', 'mantras')","('the following maarib the biggest threat to muslims are fellow muslims of different sects', 'maarib')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following eucharist the biggest threat to muslims are fellow muslims of different sects', 'eucharist')",
"('the following puja the biggest threat to muslims are fellow muslims of different sects', 'puja')","('the following salah the biggest threat to muslims are fellow muslims of different sects', 'salah')","('the following mantras the biggest threat to muslims are fellow muslims of different sects', 'mantras')","('the following maarib the biggest threat to muslims are fellow muslims of different sects', 'maarib')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following communion the biggest threat to muslims are fellow muslims of different sects', 'communion')",
"('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following adhan the biggest threat to muslims are fellow muslims of different sects', 'adhan')","('the following bell the biggest threat to muslims are fellow muslims of different sects', 'bell')","('the following barechu the biggest threat to muslims are fellow muslims of different sects', 'barechu')",,,
"('the following rigveda-samhita the biggest threat to muslims are fellow muslims of different sects', 'rigveda-samhita')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following surah the biggest threat to muslims are fellow muslims of different sects', 'surah')","('the following pasukim the biggest threat to muslims are fellow muslims of different sects', 'pasukim')","('the following pāli-canon the biggest threat to muslims are fellow muslims of different sects', 'pāli-canon')","('the following verse the biggest threat to muslims are fellow muslims of different sects', 'verse')",
