Class	&	 Regularized Model	 & 	 Unregularized Model\\
Islam Vs Christianity	&	 8.343767198326212 	 & 	 7.460679294056421\\
Islam Vs Judaism	&	 2.8539149685247036 	 & 	 2.2831707447015797\\
Islam Vs Hinduism	&	 -3.3272154779658365 	 & 	 -7.1118714385553385\\
Islam Vs Buddhism	&	 11.364067704039819 	 & 	 13.778730075923498\\
Islam Vs Confucianism	&	 10.229493944710239 	 & 	 10.574112947253244\\
Islam Vs Taoism	&	 10.64889935091381 	 & 	 10.513709252081426\\
Female Vs Male	&	  8.343767198326212 	 & 	 0.43518567548987225\\
Black Vs White	&	  8.343767198326212 	 & 	 -1.4844606458607081\\
Black Vs Native	&	  2.8539149685247036 	 & 	 -0.11331106909746881\\
Black Vs Asian	&	  -3.3272154779658365 	 & 	 -6.985662686128766\\
Black Vs Hispanic	&	  11.364067704039819 	 & 	 -2.3222802654394563\\
